,자치구코드,자치구명,법정동코드,법정동명
0,11680,강남구,10300,개포동
1,11680,강남구,10800,논현동
2,11680,강남구,10600,대치동
3,11680,강남구,11800,도곡동
4,11680,강남구,10500,삼성동
5,11680,강남구,11100,세곡동
6,11680,강남구,11500,수서동
7,11680,강남구,10700,신사동
8,11680,강남구,11000,압구정동
9,11680,강남구,10100,역삼동
10,11680,강남구,11300,율현동
11,11680,강남구,11400,일원동
12,11680,강남구,11200,자곡동
13,11680,강남구,10400,청담동
14,11740,강동구,11000,강일동
15,11740,강동구,10200,고덕동
16,11740,강동구,10500,길동
17,11740,강동구,10600,둔촌동
18,11740,강동구,10100,명일동
19,11740,강동구,10300,상일동
20,11740,강동구,10800,성내동
21,11740,강동구,10700,암사동
22,11740,강동구,10900,천호동
23,11305,강북구,10100,미아동
24,11305,강북구,10200,번동
25,11305,강북구,10300,수유동
26,11305,강북구,10400,우이동
27,11500,강서구,10400,가양동
28,11500,강서구,11000,개화동
29,11500,강서구,10800,공항동
30,11500,강서구,10600,내발산동
31,11500,강서구,10200,등촌동
32,11500,강서구,10500,마곡동
33,11500,강서구,10900,방화동
34,11500,강서구,10100,염창동
35,11500,강서구,10700,외발산동
36,11500,강서구,10300,화곡동
37,11620,관악구,10300,남현동
38,11620,관악구,10100,봉천동
39,11620,관악구,10200,신림동
40,11215,광진구,10400,광장동
41,11215,광진구,10300,구의동
42,11215,광진구,10900,군자동
43,11215,광진구,10200,능동
44,11215,광진구,10500,자양동
45,11215,광진구,10100,중곡동
46,11215,광진구,10700,화양동
47,11530,구로구,10300,가리봉동
48,11530,구로구,10700,개봉동
49,11530,구로구,10600,고척동
50,11530,구로구,10200,구로동
51,11530,구로구,10900,궁동
52,11530,구로구,10100,신도림동
53,11530,구로구,10800,오류동
54,11530,구로구,11000,온수동
55,11530,구로구,11100,천왕동
56,11530,구로구,11200,항동
57,11545,금천구,10100,가산동
58,11545,금천구,10200,독산동
59,11545,금천구,10300,시흥동
60,11350,노원구,10300,공릉동
61,11350,노원구,10500,상계동
62,11350,노원구,10200,월계동
63,11350,노원구,10600,중계동
64,11350,노원구,10400,하계동
65,11320,도봉구,10800,도봉동
66,11320,도봉구,10600,방학동
67,11320,도봉구,10500,쌍문동
68,11320,도봉구,10700,창동
69,11230,동대문구,10500,답십리동
70,11230,동대문구,10100,신설동
71,11230,동대문구,10200,용두동
72,11230,동대문구,11000,이문동
73,11230,동대문구,10600,장안동
74,11230,동대문구,10400,전농동
75,11230,동대문구,10300,제기동
76,11230,동대문구,10700,청량리동
77,11230,동대문구,10800,회기동
78,11230,동대문구,10900,휘경동
79,11590,동작구,10100,노량진동
80,11590,동작구,10800,대방동
81,11590,동작구,10600,동작동
82,11590,동작구,10400,본동
83,11590,동작구,10700,사당동
84,11590,동작구,10300,상도1동
85,11590,동작구,10200,상도동
86,11590,동작구,10900,신대방동
87,11590,동작구,10500,흑석동
88,11440,마포구,10200,공덕동
89,11440,마포구,11300,구수동
90,11440,마포구,11000,노고산동
91,11440,마포구,11800,당인동
92,11440,마포구,10800,대흥동
93,11440,마포구,10400,도화동
94,11440,마포구,12100,동교동
95,11440,마포구,10700,마포동
96,11440,마포구,12300,망원동
97,11440,마포구,11500,상수동
98,11440,마포구,12700,상암동
99,11440,마포구,12000,서교동
100,11440,마포구,12500,성산동
101,11440,마포구,10300,신공덕동
102,11440,마포구,11100,신수동
103,11440,마포구,11700,신정동
104,11440,마포구,10100,아현동
105,11440,마포구,12400,연남동
106,11440,마포구,10900,염리동
107,11440,마포구,10500,용강동
108,11440,마포구,12600,중동
109,11440,마포구,11400,창전동
110,11440,마포구,10600,토정동
111,11440,마포구,11600,하중동
112,11440,마포구,12200,합정동
113,11440,마포구,11200,현석동
114,11410,서대문구,12000,남가좌동
115,11410,서대문구,10500,냉천동
116,11410,서대문구,11300,대신동
117,11410,서대문구,11200,대현동
118,11410,서대문구,10400,미근동
119,11410,서대문구,11500,봉원동
120,11410,서대문구,11900,북가좌동
121,11410,서대문구,11000,북아현동
122,11410,서대문구,11400,신촌동
123,11410,서대문구,11700,연희동
124,11410,서대문구,10800,영천동
125,11410,서대문구,10700,옥천동
126,11410,서대문구,11600,창천동
127,11410,서대문구,10600,천연동
128,11410,서대문구,10100,충정로2가
129,11410,서대문구,10200,충정로3가
130,11410,서대문구,10300,합동
131,11410,서대문구,10900,현저동
132,11410,서대문구,11800,홍은동
133,11410,서대문구,11100,홍제동
134,11650,서초구,10900,내곡동
135,11650,서초구,10700,반포동
136,11650,서초구,10100,방배동
137,11650,서초구,10800,서초동
138,11650,서초구,11100,신원동
139,11650,서초구,10200,양재동
140,11650,서초구,11000,염곡동
141,11650,서초구,10300,우면동
142,11650,서초구,10400,원지동
143,11650,서초구,10600,잠원동
144,11200,성동구,10900,금호동1가
145,11200,성동구,11000,금호동2가
146,11200,성동구,11100,금호동3가
147,11200,성동구,11200,금호동4가
148,11200,성동구,10400,도선동
149,11200,성동구,10500,마장동
150,11200,성동구,10600,사근동
151,11200,성동구,10100,상왕십리동
152,11200,성동구,11400,성수동1가
153,11200,성동구,11500,성수동2가
154,11200,성동구,11800,송정동
155,11200,성동구,11300,옥수동
156,11200,성동구,12200,용답동
157,11200,성동구,10800,응봉동
158,11200,성동구,10200,하왕십리동
159,11200,성동구,10700,행당동
160,11200,성동구,10300,홍익동
161,11290,성북구,13400,길음동
162,11290,성북구,10300,돈암동
163,11290,성북구,11600,동선동1가
164,11290,성북구,11700,동선동2가
165,11290,성북구,11800,동선동3가
166,11290,성북구,11900,동선동4가
167,11290,성북구,12000,동선동5가
168,11290,성북구,10400,동소문동1가
169,11290,성북구,10500,동소문동2가
170,11290,성북구,10600,동소문동3가
171,11290,성북구,10700,동소문동4가
172,11290,성북구,10800,동소문동5가
173,11290,성북구,10900,동소문동6가
174,11290,성북구,11000,동소문동7가
175,11290,성북구,13000,보문동1가
